ID,COMPANY,PRODUCTION,DETAIL
1,安邦人寿保险股份有限公司,安邦安祥1号定期寿险,http://www.iachina.cn/IC/tkk/01/2b1ea04d-1021-47ce-a1cd-4db4ce4e5857.html
2,安邦人寿保险股份有限公司,安邦爱的守护定期寿险,http://www.iachina.cn/IC/tkk/01/f6919ff1-8a82-4f33-8478-26786932d4e3.html
3,长城人寿保险股份有限公司,长城附加定期寿险,http://www.iachina.cn/IC/tkk/01/fe525537-a293-4f4f-b032-1dc7ed5b02b1.html
4,长城人寿保险股份有限公司,长城团体一年定期寿险,http://www.iachina.cn/IC/tkk/01/e4aea7af-10ec-4481-ad3b-6a200542b272.html
5,工银安盛人寿保险有限公司,工银安盛人寿团体定期寿险,http://www.iachina.cn/IC/tkk/01/6f079cfd-2edd-4233-8299-b0528061b2e8.html
6,君龙人寿保险有限公司,君龙团体一年定期寿险,http://www.iachina.cn/IC/tkk/01/5b2a7404-c49e-46d4-ba73-75eeca3ffa7e.html
7,君龙人寿保险有限公司,君龙团体急性病定期寿险,http://www.iachina.cn/IC/tkk/01/14d8cab8-3551-4b7b-a376-dd5231584c7a.html
8,平安养老保险股份有限公司,平安一年期团体定期寿险,http://www.iachina.cn/IC/tkk/01/10c1d743-248b-4d93-a5c2-7b8daaf7dd32.html
9,中意人寿保险有限公司,中意乐安保意外身故定期寿险,http://www.iachina.cn/IC/tkk/01/3136f5f5-d830-4687-b496-d1336926aaf1.html
10,中意人寿保险有限公司,中意附加乐安逸定期寿险(C款),http://www.iachina.cn/IC/tkk/01/301e39fb-d771-474d-a3d3-34e6d31a51e1.html
11,太平养老保险股份有限公司,太平盛世团体定期寿险,http://www.iachina.cn/IC/tkk/01/059f3af1-25da-45da-b6a3-03c7c83e213e.html
12,中意人寿保险有限公司,中意附加豁免保险费定期寿险,http://www.iachina.cn/IC/tkk/01/b16cd8c2-f745-4b4d-b8b2-a77ef3e577a2.html
