ID,COMPANY,PRODUCTION,DETAIL
1,安邦人寿保险股份有限公司,安邦附加安康3号住院医疗保险A款,http://www.iachina.cn/IC/tkk/01/fec0ba51-3b68-42b6-99b8-5c680547f0eb.html
2,安邦人寿保险股份有限公司,安邦附加四季通宝意外伤害医疗保险B款,http://www.iachina.cn/IC/tkk/01/fb4d2bda-f761-4df6-b6d2-0e88c678c1f3.html
3,安邦人寿保险股份有限公司,安邦守护金生住院医疗保险B款,http://www.iachina.cn/IC/tkk/01/db71f1cd-b775-4daf-a707-5c05f671f3ea.html
4,安邦人寿保险股份有限公司,安邦附加四季通宝意外伤害医疗保险A款,http://www.iachina.cn/IC/tkk/01/db1c5f61-b655-4c47-b28f-c5fd61e34b8b.html
5,安邦人寿保险股份有限公司,安邦附加安顺1号意外伤害医疗保险B款,http://www.iachina.cn/IC/tkk/01/c4ade025-60b0-4193-8293-710f7e2c2f1d.html
6,安邦人寿保险股份有限公司,安邦附加意外伤害医疗团体医疗保险,http://www.iachina.cn/IC/tkk/01/a71a69d5-7bcb-443f-9213-ab3102e69189.html
7,安邦人寿保险股份有限公司,安邦附加安保1号意外伤害医疗保险A款,http://www.iachina.cn/IC/tkk/01/a16f1b3e-5c24-4f33-8e62-88a9f07ed954.html
8,安邦人寿保险股份有限公司,安邦住院团体医疗保险,http://www.iachina.cn/IC/tkk/01/8c303f4c-21fa-4b29-ab43-8c42013ce98a.html
9,安邦人寿保险股份有限公司,安邦附加建筑施工人员意外伤害团体医疗保险,http://www.iachina.cn/IC/tkk/01/88242122-920c-46c0-a671-5f91c4170c25.html
10,安邦人寿保险股份有限公司,安邦守护金生住院医疗保险A款,http://www.iachina.cn/IC/tkk/01/76c12f15-56b5-473a-bd23-1681e600dc21.html
11,安邦人寿保险股份有限公司,安邦附加安保1号意外伤害医疗保险B款,http://www.iachina.cn/IC/tkk/01/61c629fd-3dfd-4da1-913a-b1cd7aeceb46.html
12,安邦人寿保险股份有限公司,安邦附加交通工具意外伤害医疗团体医疗保险,http://www.iachina.cn/IC/tkk/01/45cf7e3e-21c6-4e44-9a89-cb9553bfe769.html
13,安邦人寿保险股份有限公司,安邦附加女性生育团体医疗保险,http://www.iachina.cn/IC/tkk/01/3819bd83-ad7a-4468-ac04-7151de9ae470.html
14,安邦人寿保险股份有限公司,安邦附加安顺1号意外伤害医疗保险A款,http://www.iachina.cn/IC/tkk/01/2aa2c08d-5a7f-445e-8e0a-7274a63330f7.html
15,安邦人寿保险股份有限公司,安邦附加门急诊团体医疗保险,http://www.iachina.cn/IC/tkk/01/2a098fad-bc2d-4d75-a623-2afda34d0f13.html
16,安邦人寿保险股份有限公司,安邦附加安康3号住院医疗保险B款,http://www.iachina.cn/IC/tkk/01/18ee7468-3638-4963-82b3-04760faae2f2.html
17,安邦人寿保险股份有限公司,安邦附加盛世安康住院医疗保险A款,http://www.iachina.cn/IC/tkk/01/f1cee82a-f3bb-4ca0-9c8c-a01315c5f4c0.html
18,安邦人寿保险股份有限公司,安邦健康管理团体医疗保险,http://www.iachina.cn/IC/tkk/01/aab77915-5fb1-43f9-a6eb-daa27de84e2d.html
19,安邦人寿保险股份有限公司,安邦附加安康7号门急诊医疗保险A款,http://www.iachina.cn/IC/tkk/01/6f26bef3-270d-4855-82f8-9633e123f754.html
20,安邦人寿保险股份有限公司,安邦附加安康5号住院医疗保险B款,http://www.iachina.cn/IC/tkk/01/46cd7533-3a00-4efd-8f9b-3105e0a5e797.html
21,安邦人寿保险股份有限公司,安邦附加意外伤害医疗团体医疗保险B款,http://www.iachina.cn/IC/tkk/01/449a4a6c-9817-456d-972e-c9bd8c347a8a.html
22,安邦人寿保险股份有限公司,安邦附加安康7号门急诊医疗保险B款,http://www.iachina.cn/IC/tkk/01/2c68cba7-ae60-46f4-97ff-53a6ced50ee2.html
23,安邦人寿保险股份有限公司,安邦附加盛世安康住院医疗保险B款,http://www.iachina.cn/IC/tkk/01/0aa67908-94f0-4311-91ce-f42179124a6f.html
24,安邦人寿保险股份有限公司,安邦附加安康5号住院医疗保险A款,http://www.iachina.cn/IC/tkk/01/06b0c2db-b22b-4be7-8f40-5238c3f770d4.html
25,长城人寿保险股份有限公司,长城附加住院医疗保险（2007）,http://www.iachina.cn/IC/tkk/01/a23cf555-4187-450f-834b-e1a641f20483.html
26,长城人寿保险股份有限公司,长城附加意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/9fcb9cc0-5ed7-442a-84a5-9e045c4cdd31.html
27,长城人寿保险股份有限公司,长城附加住院定额给付医疗保险（2007）,http://www.iachina.cn/IC/tkk/01/89fb102b-ad6f-4330-9929-85e2ccb50240.html
28,长城人寿保险股份有限公司,长城附加团体人身意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/7a31fabe-82fe-4c6f-9051-6b7cf3792a2a.html
29,长城人寿保险股份有限公司,长城安康团体补充住院医疗保险,http://www.iachina.cn/IC/tkk/01/689f500c-f699-4557-bb97-b19a1f902adc.html
30,长城人寿保险股份有限公司,长城附加建筑工程团体人身意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/457023ac-564f-49fa-80e0-221da10006bd.html
31,长城人寿保险股份有限公司,长城附加团体补充门急诊医疗保险,http://www.iachina.cn/IC/tkk/01/ec79da9e-74d8-450d-8c70-07452baf6f14.html
32,长生人寿保险有限公司,长生附加意外伤害费用报销医疗保险D款,http://www.iachina.cn/IC/tkk/01/0a80de7f-b34a-4699-b4fd-ea16c54eaaf5.html
33,东吴人寿保险股份有限公司,东吴意外伤害团体医疗保险,http://www.iachina.cn/IC/tkk/01/1d6d5a85-6906-4100-9ffb-e3e6e78bbe77.html
34,光大永明人寿保险有限公司,光大永明附加兴顺意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/b557ba64-f63b-4c44-8725-e5eed401a1d6.html
35,光大永明人寿保险有限公司,光大永明学生平安住院医疗保险,http://www.iachina.cn/IC/tkk/01/1ac5a585-2332-4ea1-94db-2676c0309aeb.html
36,光大永明人寿保险有限公司,光大永明学生平安意外医疗保险,http://www.iachina.cn/IC/tkk/01/02a101e2-56c8-441d-8b5e-128f0f944614.html
37,工银安盛人寿保险有限公司,工银安盛人寿附加意外伤害门急诊医疗保险,http://www.iachina.cn/IC/tkk/01/44923a59-2c34-4d7e-95fc-9ea5f270a7fb.html
38,工银安盛人寿保险有限公司,工银安盛人寿附加金体安康住院医疗保险,http://www.iachina.cn/IC/tkk/01/28e1c077-fa53-451b-a4ba-c81e8db30e36.html
39,恒安标准人寿保险有限公司,恒安标准附加建筑工程团体意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/a6f68592-d87d-463f-8616-720307e1d5ed.html
40,恒安标准人寿保险有限公司,恒安标准附加门急诊团体医疗保险（社保型）,http://www.iachina.cn/IC/tkk/01/a4ceebc2-9ae5-41cf-b1fb-7f502874b0aa.html
41,恒安标准人寿保险有限公司,恒安标准附加团体意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/6dba7a0e-e403-40ef-bc0c-6b594f21a9ed.html
42,恒安标准人寿保险有限公司,恒安标准附加门诊社保补充团体医疗保险,http://www.iachina.cn/IC/tkk/01/4e6ed3d0-61a4-440b-bae0-fc0c1f616233.html
43,恒安标准人寿保险有限公司,恒安标准附加住院社保补充团体医疗保险,http://www.iachina.cn/IC/tkk/01/122d1481-cfcc-4e17-ae0c-63ca4d21da47.html
44,君龙人寿保险有限公司,君龙团体急性病费用补偿医疗保险,http://www.iachina.cn/IC/tkk/01/7836cd66-1035-4106-b8ae-6bba58a47d1b.html
45,君龙人寿保险有限公司,君龙附加少儿团体医疗保险,http://www.iachina.cn/IC/tkk/01/3587d683-ca12-4416-a14e-847555e130d2.html
46,农银人寿保险股份有限公司,农银附加境外旅游救援医疗保险（B款）,http://www.iachina.cn/IC/tkk/01/dbdbba24-995d-45c8-84a2-68b650ee188b.html
47,农银人寿保险股份有限公司,农银附加学生平安住院费用医疗保险,http://www.iachina.cn/IC/tkk/01/c6cca256-fefa-499a-b450-556bdc8e4868.html
48,农银人寿保险股份有限公司,农银附加学生平安意外伤害医疗保险,http://www.iachina.cn/IC/tkk/01/4342fe1a-846d-4154-9021-3f288976c500.html
49,农银人寿保险股份有限公司,农银附加意外伤害医疗保险（2009）（B款）,http://www.iachina.cn/IC/tkk/01/fc9bbf3f-ba3e-400a-b602-fb786cc16e59.html
50,农银人寿保险股份有限公司,农银附加住院费用医疗保险（2009）（A款）,http://www.iachina.cn/IC/tkk/01/b7640e5f-d16b-4351-956e-abaf7e53bc3c.html
51,农银人寿保险股份有限公司,农银附加住院费用医疗保险（2009）（B款）,http://www.iachina.cn/IC/tkk/01/a198c222-9293-4462-ae67-71de65d94074.html
52,农银人寿保险股份有限公司,农银附加意外伤害医疗保险（2009）（A款）,http://www.iachina.cn/IC/tkk/01/006ce1b6-48a5-488b-8181-e1550221692a.html
53,平安健康保险股份有限公司,平安新尊享二代医疗保险（B）,http://www.iachina.cn/IC/tkk/01/fcebd263-99d8-4f98-a3c6-b90a275871b7.html
54,平安健康保险股份有限公司,平安医无忧2代医疗保险(A),http://www.iachina.cn/IC/tkk/01/fce59073-f2cd-4180-b89b-42b15f9909a3.html
55,平安健康保险股份有限公司,平安目录外自费补充住院团体医疗保险,http://www.iachina.cn/IC/tkk/01/f8269927-79d0-499d-a4e6-5c83fcc0eab6.html
