ID,COMPANY,PRODUCTION,DETAIL
1,安邦人寿保险股份有限公司,安邦附加安心3号护理保险,http://www.iachina.cn/IC/tkk/01/78b87843-07cd-4764-9d28-8a84fba6b348.html
2,安邦人寿保险股份有限公司,安邦附加盛世安康护理保险,http://www.iachina.cn/IC/tkk/01/bec1d0e1-4521-4945-b97b-5fcec075b612.html
3,太平养老保险股份有限公司,太平盛世乐享人生团体长期护理保险,http://www.iachina.cn/IC/tkk/01/c53c3595-fae2-409d-91f7-3e2cda04ce0b.html
4,信诚人寿保险有限公司,信诚附加老年护理保险,http://www.iachina.cn/IC/tkk/01/d402d822-d9cc-45a0-8838-660e7f4b8934.html
5,信诚人寿保险有限公司,信诚附加至尊「悦·享」老年护理保险,http://www.iachina.cn/IC/tkk/01/67ca4f88-72e8-47b0-b691-174baec562ae.html
6,信诚人寿保险有限公司,信诚附加老年护理保险,http://www.iachina.cn/IC/tkk/01/1056c576-1033-474a-8726-ddbebe1358f4.html
7,中美联泰大都会人寿保险有限公司,中美联泰大都会人寿保险有限公司附加乐享一生长期护理保险,http://www.iachina.cn/IC/tkk/01/0a64a195-f349-41ff-8424-8399af241728.html
8,中美联泰大都会人寿保险有限公司,联泰大都会人寿保险有限公司附加乐享一生长期护理保险,http://www.iachina.cn/IC/tkk/01/a3c07d40-d7cc-402a-80d0-28cd8a1bf6e1.html
9,瑞泰人寿保险有限公司,瑞泰乐惠人生团体长期护理保险,http://www.iachina.cn/IC/tkk/01/c6431b83-3378-4b3e-9afd-97fc3e05c297.html
10,信诚人寿保险有限公司,信诚附加至尊「悦·享」老年护理保险,http://www.iachina.cn/IC/tkk/01/2759bb30-1738-460f-9f1b-e64a14b44d61.html
11,和谐健康保险股份有限公司,和谐团体护理保险（万能型）,http://www.iachina.cn/IC/tkk/01/e30c06ca-39ec-4fc6-bc4b-ea0e3733e8e3.html
12,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司附加康健无忧个人护理保险,http://www.iachina.cn/IC/tkk/01/fee7f035-ae78-42e6-a1d7-7db7d7f44415.html
13,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司金生无忧个人护理保险,http://www.iachina.cn/IC/tkk/01/ee07e719-4803-4066-91d3-d0c999f24327.html
14,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司常无忧日常看护个人护理保险,http://www.iachina.cn/IC/tkk/01/d00188af-f5a6-44bb-8f03-cefcefe218c7.html
15,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司医诊无忧日常看护个人护理保险（A款）,http://www.iachina.cn/IC/tkk/01/9e8df0d0-c88d-49cf-bf7f-9ac26472bf8b.html
16,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司健康人生个人护理保险（万能型，D款）,http://www.iachina.cn/IC/tkk/01/7ee08fd8-5a16-462b-87b3-8a5b987cbb4a.html
17,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司附加健康专家个人护理保险,http://www.iachina.cn/IC/tkk/01/7d8d8b46-3ffb-4343-9dc4-61368ef44aa9.html
18,中国人民健康保险股份有限公司,中国人民健康保险股份有限公司附加安心宝个人护理保险,http://www.iachina.cn/IC/tkk/01/75401166-8822-4729-829b-47f0e5e4e6e7.html
