ID,COMPANY,PRODUCTION,DETAIL
1,安邦人寿保险股份有限公司,安邦安顺1号意外伤害保险,http://www.iachina.cn/IC/tkk/01/ebe1cf41-76a4-4fbd-834b-85acd1f8c9c6.html
2,安邦人寿保险股份有限公司,安邦安保3号交通工具意外伤害保险,http://www.iachina.cn/IC/tkk/01/e26a707c-ccef-4695-a00d-9ba8be65010d.html
3,安邦人寿保险股份有限公司,安邦安全建筑工程团体意外伤害保险,http://www.iachina.cn/IC/tkk/01/d302c8ba-448a-4ad1-9421-f8e466f746d9.html
4,安邦人寿保险股份有限公司,安邦补充工伤团体意外伤害保险,http://www.iachina.cn/IC/tkk/01/cc6c27dc-28d9-457b-b55e-21d6fedc8b86.html
5,安邦人寿保险股份有限公司,安邦平安行公共交通工具意外伤害保险,http://www.iachina.cn/IC/tkk/01/8a7ebebd-7854-4afe-bbb5-4151cd6c68c4.html
6,安邦人寿保险股份有限公司,安邦建筑施工人员团体意外伤害保险,http://www.iachina.cn/IC/tkk/01/655a906b-694c-4ed0-8b09-cdfd15a8cc7c.html
7,安邦人寿保险股份有限公司,安邦附加残疾和烧伤团体意外伤害保险,http://www.iachina.cn/IC/tkk/01/3b0071de-ca38-4468-854a-545567aff625.html
8,安邦人寿保险股份有限公司,安邦团体意外伤害保险,http://www.iachina.cn/IC/tkk/01/037fbbb8-a40f-4975-9066-cc1316f4613a.html
9,安邦人寿保险股份有限公司,安邦安保1号意外伤害保险,http://www.iachina.cn/IC/tkk/01/adf6b777-08df-4313-996c-ae23c0571a80.html
10,安邦人寿保险股份有限公司,安邦借款人意外伤害保险,http://www.iachina.cn/IC/tkk/01/a136ee6e-2ced-42f1-a335-0e671f0cc4d6.html
11,安邦人寿保险股份有限公司,安邦四季通宝意外伤害保险,http://www.iachina.cn/IC/tkk/01/951aabc3-991f-4f5e-b89b-d207cd1f0b6f.html
12,安邦人寿保险股份有限公司,安邦贷款无忧长期意外伤害保险,http://www.iachina.cn/IC/tkk/01/3fe69133-fc86-4b22-9d74-2fd65753de6f.html
